transcript,domain,target name,E-value
TRINITY_DN59156_c0_g1_i1.p1,Cysteine-rich secretory protein family,CAP,1.10E-14
TRINITY_DN59156_c0_g1_i1.p2,Respiratory growth transcriptional regulator,RSF,0.0052
TRINITY_DN95273_c0_g1_i1.p1,"NADH-ubiquinone/plastoquinone oxidoreductase, chain 3",Oxidored_q4,0.15
TRINITY_DN95273_c0_g1_i1.p1,"NADH-ubiquinone/plastoquinone oxidoreductase, chain 3",Oxidored_q4,0.15
TRINITY_DN95273_c0_g1_i1.p2,Borna disease virus G protein,BDV_G,0.023
TRINITY_DN69769_c0_g1_i1.p1,BTB/POZ domain,BTB_2,3.30E-19
TRINITY_DN69769_c0_g1_i1.p1,BTB/POZ domain,BTB_2,3.30E-19
TRINITY_DN69769_c0_g1_i1.p1,BTB/POZ domain,BTB_3,0.02
TRINITY_DN69769_c0_g1_i1.p1,BTB/POZ domain,BTB_3,0.02
TRINITY_DN69769_c0_g1_i1.p1,"Exonuclease VII, large subunit",Exonuc_VII_L,0.066
TRINITY_DN69769_c0_g1_i1.p1,Mitochondrial calcium uniporter,MCU,0.066
TRINITY_DN69769_c0_g1_i1.p1,Domain of unknown function (DUF3552),DUF3552,0.084
TRINITY_DN69769_c0_g1_i1.p1,Domain of unknown function (DUF4200),DUF4200,0.31
TRINITY_DN69769_c0_g1_i1.p1,Autophagy protein Apg6,APG6,0.34
TRINITY_DN69769_c0_g1_i1.p1,Flagellar Assembly Protein A,FapA,1.3
TRINITY_DN69769_c0_g1_i1.p1,Adenosine/AMP deaminase N-terminal,A_deaminase_N,1.6
TRINITY_DN84670_c0_g1_i1.p1,Major prion protein bPrPp - N terminal,Prion_bPrPp,0.025
TRINITY_DN75744_c0_g2_i1.p3,Transmembrane protein 126,TMEM126,0.6
TRINITY_DN75744_c0_g2_i1.p3,Transmembrane protein 126,TMEM126,0.6
TRINITY_DN54113_c0_g1_i1.p2,Filoviridae VP35,Filo_VP35,0.032
TRINITY_DN164371_c0_g1_i4.p1,Strictosidine synthase,Str_synth,5.00E-13
TRINITY_DN164371_c0_g1_i4.p1,Strictosidine synthase,Str_synth,5.00E-13
TRINITY_DN164371_c0_g1_i4.p1,SMP-30/Gluconolaconase/LRE-like region,SGL,1.20E-10
TRINITY_DN164371_c0_g1_i4.p1,SMP-30/Gluconolaconase/LRE-like region,SGL,1.20E-10
TRINITY_DN164371_c0_g1_i4.p1,Arylesterase,Arylesterase,0.00036
TRINITY_DN164371_c0_g1_i4.p1,Arylesterase,Arylesterase,0.00036
TRINITY_DN164371_c0_g1_i4.p1,PQQ-like domain,PQQ_3,0.037
TRINITY_DN164371_c0_g1_i4.p1,PQQ-like domain,PQQ_3,0.037
TRINITY_DN164371_c0_g1_i4.p1,PQQ-like domain,PQQ_3,0.037
TRINITY_DN164371_c0_g1_i4.p1,PQQ-like domain,PQQ_3,0.037
TRINITY_DN164371_c0_g1_i4.p1,MHC-I family domain,MHC_I_3,0.14
TRINITY_DN165314_c1_g3_i1.p1,MG2 domain,A2M_N,5.80E-18
TRINITY_DN165314_c1_g3_i1.p1,MG2 domain,A2M_N,5.80E-18
TRINITY_DN165314_c1_g3_i1.p1,MG2 domain,A2M_N,5.80E-18
TRINITY_DN165314_c1_g3_i1.p1,Glycosyl hydrolase family 66,Glyco_hydro_66,0.07
TRINITY_DN165314_c1_g3_i1.p1,Trans-sialidase of Trypanosoma hydrophobic C-terminal,Tr-sialidase_C,0.17
TRINITY_DN165394_c0_g2_i1.p1,F5/8 type C domain,F5_F8_type_C,1.70E-23
TRINITY_DN165394_c0_g2_i1.p1,F5/8 type C domain,F5_F8_type_C,1.70E-23
TRINITY_DN165394_c0_g2_i1.p1,F5/8 type C domain,F5_F8_type_C,1.70E-23
TRINITY_DN165394_c0_g2_i1.p1,HAP1 N-terminal conserved region,HAP1_N,0.00018
TRINITY_DN165394_c0_g2_i1.p1,Apolipoprotein A1/A4/E domain,Apolipoprotein,0.015
TRINITY_DN165394_c0_g2_i1.p1,Domain of unknown function (DUF4164),DUF4164,0.027
TRINITY_DN165394_c0_g2_i1.p1,Domain of unknown function (DUF4164),DUF4164,0.027
TRINITY_DN165394_c0_g2_i1.p1,Low-density lipoprotein receptor repeat class B,Ldl_recept_b,0.028
TRINITY_DN165394_c0_g2_i1.p1,Low-density lipoprotein receptor repeat class B,Ldl_recept_b,0.028
TRINITY_DN165394_c0_g2_i1.p1,Low-density lipoprotein receptor repeat class B,Ldl_recept_b,0.028
TRINITY_DN165394_c0_g2_i1.p1,NHL repeat,NHL,0.037
TRINITY_DN165394_c0_g2_i1.p1,NHL repeat,NHL,0.037
TRINITY_DN165394_c0_g2_i1.p1,NHL repeat,NHL,0.037
TRINITY_DN165394_c0_g2_i1.p1,NHL repeat,NHL,0.037
TRINITY_DN165394_c0_g2_i1.p1,IncA protein,IncA,0.047
TRINITY_DN165394_c0_g2_i1.p1,IncA protein,IncA,0.047
TRINITY_DN165394_c0_g2_i1.p1,Nnf1,Nnf1,0.053
TRINITY_DN165394_c0_g2_i1.p1,Nucleopolyhedrovirus P10 protein,NPV_P10,0.061
TRINITY_DN165394_c0_g2_i1.p1,Nucleopolyhedrovirus P10 protein,NPV_P10,0.061
TRINITY_DN165394_c0_g2_i1.p1,Nucleopolyhedrovirus P10 protein,NPV_P10,0.061
TRINITY_DN165394_c0_g2_i1.p1,"Hepatic lectin, N-terminal domain",Lectin_N,0.079
TRINITY_DN165394_c0_g2_i1.p1,"Lactonase, 7-bladed beta-propeller",Lactonase,0.11
TRINITY_DN165394_c0_g2_i1.p1,"Lactonase, 7-bladed beta-propeller",Lactonase,0.11
TRINITY_DN165394_c0_g2_i1.p1,Septum formation initiator,DivIC,0.11
TRINITY_DN165394_c0_g2_i1.p1,Septum formation initiator,DivIC,0.11
TRINITY_DN165394_c0_g2_i1.p1,Septum formation initiator,DivIC,0.11
TRINITY_DN165394_c0_g2_i1.p1,Two component regulator propeller,Reg_prop,0.12
TRINITY_DN165394_c0_g2_i1.p1,Two component regulator propeller,Reg_prop,0.12
TRINITY_DN165394_c0_g2_i1.p1,Two component regulator propeller,Reg_prop,0.12
TRINITY_DN165394_c0_g2_i1.p1,SWI5-dependent HO expression protein 3,SHE3,0.12
TRINITY_DN165394_c0_g2_i1.p1,CASP C terminal,CASP_C,0.2
TRINITY_DN165394_c0_g2_i1.p1,GIT coiled-coil Rho guanine nucleotide exchange factor,GIT_CC,0.21
TRINITY_DN165394_c0_g2_i1.p1,GIT coiled-coil Rho guanine nucleotide exchange factor,GIT_CC,0.21
TRINITY_DN165394_c0_g2_i1.p1,bZIP transcription factor,bZIP_1,0.35
TRINITY_DN165394_c0_g2_i1.p1,bZIP transcription factor,bZIP_1,0.35
TRINITY_DN165394_c0_g2_i1.p1,bZIP transcription factor,bZIP_1,0.35
TRINITY_DN165394_c0_g2_i1.p1,C-terminal leucine zipper domain of cyclic nucleotide-gated channels,CLZ,0.39
TRINITY_DN165394_c0_g2_i1.p1,C-terminal leucine zipper domain of cyclic nucleotide-gated channels,CLZ,0.39
TRINITY_DN165394_c0_g2_i1.p1,Outer membrane protein (OmpH-like),OmpH,0.43
TRINITY_DN165394_c0_g2_i1.p1,TPR/MLP1/MLP2-like protein,TPR_MLP1_2,0.62
TRINITY_DN165394_c0_g2_i1.p1,TPR/MLP1/MLP2-like protein,TPR_MLP1_2,0.62
TRINITY_DN165394_c0_g2_i1.p1,Homeobox associated leucine zipper,HALZ,0.69
TRINITY_DN165394_c0_g2_i1.p1,Homeobox associated leucine zipper,HALZ,0.69
TRINITY_DN165394_c0_g2_i1.p1,Leucine-rich repeats of kinetochore protein Cenp-F/LEK1,CENP-F_leu_zip,0.85
TRINITY_DN165394_c0_g2_i1.p1,Leucine-rich repeats of kinetochore protein Cenp-F/LEK1,CENP-F_leu_zip,0.85
TRINITY_DN165394_c0_g2_i1.p1,Cell division protein ZapB,ZapB,1.5
TRINITY_DN165394_c0_g2_i1.p1,Protein of unknown function DUF16,DUF16,1.6
TRINITY_DN165394_c0_g2_i1.p1,Protein of unknown function DUF16,DUF16,1.6
TRINITY_DN165394_c0_g2_i1.p1,PQQ-like domain,PQQ_3,2.8
TRINITY_DN165394_c0_g2_i1.p1,PQQ-like domain,PQQ_3,2.8
TRINITY_DN165394_c0_g2_i1.p1,"Baculovirus polyhedron envelope protein, PEP, C terminus",Baculo_PEP_C,8.7
TRINITY_DN165394_c0_g2_i1.p1,"Baculovirus polyhedron envelope protein, PEP, C terminus",Baculo_PEP_C,8.7
TRINITY_DN165394_c0_g2_i1.p1,"Baculovirus polyhedron envelope protein, PEP, C terminus",Baculo_PEP_C,8.7
TRINITY_DN165394_c0_g2_i1.p1,HOOK protein,HOOK,9.2
TRINITY_DN165394_c0_g2_i1.p1,HOOK protein,HOOK,9.2
TRINITY_DN165366_c1_g1_i1.p1,Chondroitin proteoglycan 4,CPG4,1.1
TRINITY_DN165366_c1_g1_i1.p1,Chondroitin proteoglycan 4,CPG4,1.1
TRINITY_DN165366_c1_g1_i1.p1,Chondroitin proteoglycan 4,CPG4,1.1
TRINITY_DN165366_c1_g1_i1.p1,Scorpion toxin-like domain,Toxin_3,1.3
TRINITY_DN165366_c1_g1_i1.p1,Scorpion toxin-like domain,Toxin_3,1.3
TRINITY_DN165366_c1_g1_i1.p1,Scorpion toxin-like domain,Toxin_3,1.3
TRINITY_DN165366_c1_g1_i1.p1,Scorpion toxin-like domain,Toxin_3,1.3
TRINITY_DN159734_c1_g1_i1.p1,Protein kinase domain,Pkinase,1.80E-41
TRINITY_DN159734_c1_g1_i1.p1,Protein kinase domain,Pkinase,1.80E-41
TRINITY_DN159734_c1_g1_i1.p1,Protein tyrosine kinase,Pkinase_Tyr,1.00E-23
TRINITY_DN159734_c1_g1_i1.p1,AT-hook-containing transcription factor,AKNA,0.00037
TRINITY_DN159734_c1_g1_i1.p1,AT-hook-containing transcription factor,AKNA,0.00037
TRINITY_DN159734_c1_g1_i1.p1,AT-hook-containing transcription factor,AKNA,0.00037
TRINITY_DN159734_c1_g1_i1.p1,AT-hook-containing transcription factor,AKNA,0.00037
TRINITY_DN159734_c1_g1_i1.p1,Bacterial protein of unknown function (DUF948),DUF948,0.0085
TRINITY_DN159734_c1_g1_i1.p1,Bacterial protein of unknown function (DUF948),DUF948,0.0085
TRINITY_DN159734_c1_g1_i1.p1,Bacterial protein of unknown function (DUF948),DUF948,0.0085
TRINITY_DN159734_c1_g1_i1.p1,Phosphotransferase enzyme family,APH,0.068
TRINITY_DN159734_c1_g1_i1.p1,Phosphotransferase enzyme family,APH,0.068
TRINITY_DN159734_c1_g1_i1.p1,Phosphotransferase enzyme family,APH,0.068
TRINITY_DN159734_c1_g1_i1.p1,Prominin,Prominin,0.56
TRINITY_DN159734_c1_g1_i1.p1,Domain of unknown function (DUF4407),DUF4407,1.4
TRINITY_DN159734_c1_g1_i1.p1,Autophagy protein Apg6,APG6,1.5
TRINITY_DN159734_c1_g1_i1.p1,Autophagy protein Apg6,APG6,1.5
TRINITY_DN159734_c1_g1_i1.p1,IncA protein,IncA,2.5
TRINITY_DN159734_c1_g1_i1.p1,IncA protein,IncA,2.5
TRINITY_DN159734_c1_g1_i1.p1,IncA protein,IncA,2.5
TRINITY_DN159734_c1_g1_i1.p1,Flagellar hook-associated protein 2 N-terminus,FliD_N,2.5
TRINITY_DN159734_c1_g1_i1.p1,Flagellar hook-associated protein 2 N-terminus,FliD_N,2.5
TRINITY_DN159734_c1_g1_i1.p1,Flagellar hook-associated protein 2 N-terminus,FliD_N,2.5
TRINITY_DN159734_c1_g1_i1.p1,Occludin homology domain,Occludin_ELL,9.3
TRINITY_DN159734_c1_g1_i1.p1,Occludin homology domain,Occludin_ELL,9.3
TRINITY_DN159734_c1_g1_i1.p1,Occludin homology domain,Occludin_ELL,9.3
TRINITY_DN166505_c0_g1_i2.p1,Myotubularin protein,SBF2,1.30E-95
TRINITY_DN166505_c0_g1_i2.p1,Myotubularin protein,SBF2,1.30E-95
TRINITY_DN166505_c0_g1_i2.p1,DENN (AEX-3) domain,DENN,2.30E-50
TRINITY_DN166505_c0_g1_i2.p1,DENN (AEX-3) domain,DENN,2.30E-50
TRINITY_DN166505_c0_g1_i2.p1,Myotubularin-like phosphatase domain,Myotub-related,4.50E-34
TRINITY_DN166505_c0_g1_i2.p1,GRAM domain,GRAM,1.80E-15
TRINITY_DN166505_c0_g1_i2.p1,uDENN domain,uDENN,1.30E-11
TRINITY_DN166505_c0_g1_i2.p1,uDENN domain,uDENN,1.30E-11
TRINITY_DN166505_c0_g1_i2.p1,dDENN domain,dDENN,0.00035
TRINITY_DN166505_c0_g1_i2.p2,PH domain,PH,3.90E-15
TRINITY_DN166505_c0_g1_i2.p2,Phorbol esters/diacylglycerol binding domain (C1 domain),C1_1,1.60E-09
TRINITY_DN166505_c0_g1_i2.p2,Pleckstrin homology domain,PH_11,4.40E-06
TRINITY_DN166505_c0_g1_i2.p2,Pleckstrin homology domain,PH_8,0.00027
TRINITY_DN166505_c0_g1_i2.p2,Pleckstrin homology domain,PH_12,0.042
TRINITY_DN166505_c0_g1_i2.p2,Putative zinc-RING and/or ribbon,zf-RING_9,0.22
TRINITY_DN166541_c3_g8_i3.p1,"Lytic polysaccharide mono-oxygenase, cellulose-degrading",LPMO_10,3.30E-34
TRINITY_DN166541_c3_g8_i3.p1,Nodulation protein NolV,NolV,0.14
TRINITY_DN166566_c1_g1_i1.p1,EF-hand domain pair,EF-hand_7,1.60E-24
